symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08124779,210.69,6.040009,2.95138,,,,twelve_data,1781789400,False,,NVDA,True,True,True
AAPL,Apple Inc,0.06934832,298.01001,2.059998,0.69606267,,,,twelve_data,1781789400,False,,AAPL,True,True,True
MU,Micron Technology Inc,0.05584223,1133.98999,90.80005,8.70408,,,,twelve_data,1781789400,False,,MU,True,True,True
MSFT,Microsoft Corp,0.044652370000000004,379.39999,0.48999023,0.12931573,,,,twelve_data,1781789400,False,,MSFT,True,True,True
AMZN,Amazon.com Inc,0.04158332,244.39,6.89,2.90105,,,,twelve_data,1781789400,False,,AMZN,True,True,True
AMD,Advanced Micro Devices Inc,0.03833218,537.37,24.89001,4.85678,,,,twelve_data,1781789400,False,,AMD,True,True,True
GOOGL,Alphabet Inc Class A,0.03395709,368.029999,4.23999,1.1655,,,,twelve_data,1781789400,False,,GOOGL,True,True,True
TSLA,Tesla Inc,0.03168063,400.48999,4.10999,1.03688,,,,twelve_data,1781789400,False,,TSLA,True,True,True
GOOG,Alphabet Inc Class C,0.03167556,367.45999,5.35999,1.48025,,,,twelve_data,1781789400,False,,GOOG,True,True,True
AVGO,Broadcom Inc,0.03091117,411.35001,18.45001,4.69585,,,,twelve_data,1781789400,False,,AVGO,True,True,True
INTC,Intel Corp,0.029285890000000002,133.99001,12.89001,10.6441,,,,twelve_data,1781789400,False,,INTC,True,True,True
META,Meta Platforms Inc,0.02701028,577.21997,9.63995,1.69843,,,,twelve_data,1781789400,False,,META,True,True,True
WMT,Walmart Inc,0.02505703,117.18,-0.94999695,-0.8041962,,,,twelve_data,1781789400,False,,WMT,True,True,True
AMAT,Applied Materials Inc,0.02141996,617.10999,24.19,4.079809,,,,twelve_data,1781789400,False,,AMAT,True,True,True
LRCX,Lam Research Corp,0.0212627,389.040009,14.86002,3.97136,,,,twelve_data,1781789400,False,,LRCX,True,True,True
CSCO,Cisco Systems Inc,0.02066105,119.54,2.21,1.88358,,,,twelve_data,1781789400,False,,CSCO,True,True,True
COST,Costco Wholesale Corp,0.01848012,951.45001,-14.14001,-1.46439,,,,twelve_data,1781789400,False,,COST,True,True,True
KLAC,KLA Corp,0.01488017,259.56,20.83,8.72534,,,,twelve_data,1781789400,False,,KLAC,True,True,True
NFLX,Netflix Inc,0.01428937,77.38,0.41999817,0.54573567,,,,twelve_data,1781789400,False,,NFLX,True,True,True
SNDK,Sandisk Corp,0.01410392,2184.75,225.94995,11.53512,,,,twelve_data,1781789400,False,,SNDK,True,True,True
